num,city,address,detail,type,gun,road,lat,lng
1,대구광역시,화원읍 비슬로 2705(1번출구),도로(가로)변,일반쓰레기수거용,달성군,비슬로,35.8083645,128.5084394
2,대구광역시,화원읍 비슬로 2679,도로(가로)변,일반쓰레기수거용,달성군,비슬로,35.8072079,128.5080746
3,대구광역시,화원읍 비슬로 2674,도로(가로)변,일반쓰레기수거용,달성군,비슬로,35.805185,128.5021466
4,대구광역시,화원읍 비슬로 2611,도로(가로)변,일반쓰레기수거용,달성군,비슬로,35.8049434,128.5032316
5,대구광역시,화원읍 비슬로 2620,도로(가로)변,일반쓰레기수거용,달성군,비슬로,35.8003982,128.4934974
6,대구광역시,화원읍 비슬로 257,도로(가로)변,일반쓰레기수거용,달성군,비슬로,35.8035534,128.4993658
7,대구광역시,화원읍 비슬로 2582,도로(가로)변,일반쓰레기수거용,달성군,비슬로,35.8013588,128.4932192
8,대구광역시,화원읍 비슬로 2519,도로(가로)변,일반쓰레기수거용,달성군,비슬로,35.8006112,128.4935299
9,대구광역시,화원읍 비슬로 506길 14,도로(가로)변,일반쓰레기수거용,달성군,비슬로,35.8003982,128.4934974
10,대구광역시,화원읍 비슬로 2490,도로(가로)변,일반쓰레기수거용,달성군,비슬로,35.7958008,128.4853487
11,대구광역시,화원읍 비슬로 2428,도로(가로)변,일반쓰레기수거용,달성군,비슬로,35.8075578,128.4891137
12,대구광역시,화원읍 사문진로 359,도로(가로)변,일반쓰레기수거용,달성군,사문진로,35.8075059,128.4881275
13,대구광역시,화원읍 사문진로 354,도로(가로)변,일반쓰레기수거용,달성군,사문진로,35.8081368,128.4859184
14,대구광역시,화원읍 성산리 83,도로(가로)변,일반쓰레기수거용,달성군,사문진로,35.8129354,128.4810178
15,대구광역시,화원읍 성산리 310,도로(가로)변,일반쓰레기수거용,달성군,사문진로,35.8129354,128.4810178
16,대구광역시,화원읍 성산리 310,도로(가로)변,일반쓰레기수거용,달성군,사문진로,35.7977458,128.4928982
17,대구광역시,화원읍 명천로 243,도로(가로)변,일반쓰레기수거용,달성군,명천로,35.8003982,128.4934974
18,대구광역시,화원읍 비슬로 2495,도로(가로)변,일반쓰레기수거용,달성군,비슬로,35.7997494,128.4981648
19,대구광역시,화원읍 명천로 181,도로(가로)변,일반쓰레기수거용,달성군,명천로,35.8023682,128.5079641
20,대구광역시,화원읍 명천로17길 7-9,도로(가로)변,일반쓰레기수거용,달성군,명천로,35.8038241,128.511514
21,대구광역시,화원읍 명천로 57,도로(가로)변,일반쓰레기수거용,달성군,명천로,35.798498,128.49454
22,대구광역시,화원읍 명천로 11,도로(가로)변,일반쓰레기수거용,달성군,명천로,35.7982766,128.4946805
23,대구광역시,화원읍 명천로 231,도로(가로)변,일반쓰레기수거용,달성군,명천로,35.7966486,128.4951417
24,대구광역시,화원읍 명곡로 30,도로(가로)변,일반쓰레기수거용,달성군,명곡로,35.798101,128.4998716
25,대구광역시,화원읍 화암로 120,도로(가로)변,일반쓰레기수거용,달성군,화암로,35.7987551,128.5016669
26,대구광역시,화원읍 화암로 122,도로(가로)변,일반쓰레기수거용,달성군,화암로,35.798498,128.49454
27,대구광역시,화원읍 명천로 11,도로(가로)변,일반쓰레기수거용,달성군,명천로,35.7995858,128.490148
28,대구광역시,화원읍 비슬로 2487,도로(가로)변,일반쓰레기수거용,달성군,비슬로,35.7994078,128.4889232
29,대구광역시,화원읍 성천로 8,도로(가로)변,일반쓰레기수거용,달성군,성천로,35.7975873,128.4868808
30,대구광역시,화원읍 비슬로 2451,도로(가로)변,일반쓰레기수거용,달성군,비슬로,35.7268052,128.4476753
31,대구광역시,논공읍 논공중앙로 106,도로(가로)변,일반쓰레기수거용,달성군,논공중앙로,35.7274653,128.4468654
32,대구광역시,논공읍 용호로 6,도로(가로)변,일반쓰레기수거용,달성군,용호로,35.7769221,128.4332331
33,대구광역시,논공읍 봉동길 9-5,도로(가로)변,일반쓰레기수거용,달성군,봉동길,35.7745414,128.4313244
34,대구광역시,논공읍 달성군청로 33,도로(가로)변,일반쓰레기수거용,달성군,달성군청로,35.7285455,128.4445633
